cluster,cluster size,person ids,Avg A,Avg RMSD,Avg S,Member 0,Member 1,Member 10,Member 11,Member 12,Member 13,Member 14,Member 15,Member 16,Member 17,Member 18,Member 19,Member 2,Member 20,Member 21,Member 22,Member 23,Member 24,Member 25,Member 26,Member 27,Member 3,Member 4,Member 5,Member 6,Member 7,Member 8,Member 9,names
1,18,"[19, 14, 72, 67, 63, 50, 44, 38, 35, 33, 95, 17, 2, 89, 108, 10, 41, 90]",0.103986291351,0.0982092751648,0.72496983558,"{'skills': [], 'technology': 'Machine Learning', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Machine Learning', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Javascript', 'Java', 'SQL'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['Python', 'Java'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['Python', 'Java', 'C++'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['Python', 'C++'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 2}","{'skills': ['Python', 'HTML5/CSS'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS', 'Java'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS', 'Javascript', 'Java'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': [], 'technology': 'Machine Learning', 'experience': 'Beginner', 'num_hackathons': 0}",,,"{'skills': ['Python', 'C++'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 0}",,,,,,,,,"{'skills': ['C++'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Java', 'SQL'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'C++'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Java', 'C++'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['C++'], 'technology': 'Machine Learning', 'experience': 'Non-Beginner', 'num_hackathons': 0}","['Sarah Stewart', 'Sarah Savoy', 'Rachel Manzelli', 'Alyssa Arnheim', 'Emily  Latinsky-Ortiz', 'Shirley Hu', 'Ayan Waite', 'Julia Bighetto', 'Olivia Dorencz', 'Erin  Dorsey', 'Rhonda Mak', 'Sirine Benbrahim', 'Natalia Frumkin', 'Ghazal Randhawa', 'Joanna Lo', 'maria castellaneta', 'Yunyu  Zhang', 'Dana Abercrombie']"
2,27,"[101, 60, 52, 15, 76, 75, 62, 56, 48, 34, 13, 12, 9, 96, 7, 92, 80, 61, 55, 47, 40, 37, 23, 54, 1, 32, 53]",0.126916601751,0.122215986872,0.660922847782,"{'skills': [], 'technology': 'Web Development', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['C++'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'C++'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Java'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['Python'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['Python', 'HTML5/CSS'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS', 'C++'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['HTML5/CSS'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Web Development', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': ['HTML5/CSS'], 'technology': 'Web Development', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS', 'Javascript', 'Java', 'SQL'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['HTML5/CSS'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS', 'Javascript', 'Java', 'SQL'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['HTML5/CSS', 'Javascript', 'Java', 'C++'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['Python', 'HTML5/CSS', 'Java'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 2}","{'skills': [], 'technology': 'Web Development', 'experience': 'Beginner', 'num_hackathons': 0}",,"{'skills': [], 'technology': 'Web Development', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': ['Python'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'C++'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'SQL'], 'technology': 'Web Development', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Javascript', 'Java'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Java'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Java'], 'technology': 'Web Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","['Elise Takahama', 'Jazmyne Jackson', 'Christina Huang', 'Fabiola Benitez', ""keeley o'keefe"", 'Napassorn Lerdsudwichai', 'Madeline Carr', 'Sophia Fondell', 'Chau Vu', 'Janice  He', 'Sofia Cintron-Schroeder', 'Ashley Cui', 'Katie Mossburg', 'Rachel Chmielinski', 'Janina Huang', 'Jenna Manto', 'Sunmin  Roh', 'Brianna Rego', 'Andres Rojas', 'Anvi Sarin', 'Michelle Chan', 'Lindsey Fourt', 'Chinwe Oparaji', 'sarah lucca', 'Dave Sebastian', 'Briana Mayes', 'Chloe Guo']"
3,20,"[106, 102, 97, 87, 84, 71, 58, 49, 46, 31, 28, 26, 103, 88, 78, 77, 45, 42, 36, 86]",0.184219924572,0.175008928344,0.495492958849,"{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'SQL'], 'technology': 'Intro to Coding', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': ['Python'], 'technology': 'Intro to Coding', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Java'], 'technology': 'Intro to Coding', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python'], 'technology': 'Intro to Coding', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'SQL'], 'technology': 'Intro to Coding', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': ['Java', 'C++'], 'technology': 'Intro to Coding', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['HTML5/CSS'], 'technology': 'Intro to Coding', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Beginner', 'num_hackathons': 0}",,,,,,,,,"{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'Intro to Coding', 'experience': 'Non-Beginner', 'num_hackathons': 0}","['Faridat  Ilupeju', 'Peggy Lao', 'Julia Cirillo', 'Natasha  Mascarenhas', 'Kaitlyn Locke', 'Jia Liu', 'Shriya Ganti', 'Dorothy Spector', 'Anika Ramchandani', 'Briana Lynam', 'Sarah  Rappaport', 'Samata Joshi', 'Anna Martynova', 'Carli DeLaura', 'Jina (Yong Jin) Chun', 'Cathy Kim', 'Cynthia Fernandez', 'Michelle Lee', 'Ellie Schiltz', 'Lexi Peery']"
4,22,"[6, 93, 83, 82, 57, 51, 43, 30, 22, 20, 16, 91, 99, 0, 107, 100, 81, 69, 29, 18, 11, 8]",0.110198459406,0.105189438524,0.72694887974,"{'skills': ['Java'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['Python', 'Java'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'SQL'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS', 'Java'], 'technology': 'iOS App Development', 'experience': 'Beginner', 'num_hackathons': 1}","{'skills': ['Python', 'HTML5/CSS'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['Python', 'HTML5/CSS', 'Java'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['HTML5/CSS'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS', 'Java'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS', 'Java'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['HTML5/CSS', 'Javascript', 'C++'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS', 'Javascript'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Java', 'C++'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS', 'Java'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Java'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 1}",,,,,,,"{'skills': ['Python'], 'technology': 'iOS App Development', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Javascript'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Java'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python'], 'technology': 'iOS App Development', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': ['Java', 'C++'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['C++'], 'technology': 'iOS App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Java'], 'technology': 'iOS App Development', 'experience': 'Beginner', 'num_hackathons': 0}","['Sandra Zhen', 'Vee Nguyen', 'Priyal Verma', 'Nathalie Ye', 'Dynnor Shebshaievitz', 'Sarah Shahinpour', 'Maha Alrashed', 'Nicole Enos', 'Sarah  Araujo', 'Eugenia Shandelman', 'Katherine  Mercurio', 'Sophie Kirtley', 'Alexa  Sih', 'Jennie Nguyen', 'Normandie  Essig ', 'Aditi Sharma', 'Ali  Kinay', 'Kimberly Baum', 'Yuxuan Ji', 'Christie Molloy', 'Ashni Shah', 'Ramsha Arshad']"
5,6,"[70, 24, 4, 85, 25, 65]",0.0,0.0,1.0,"{'skills': ['Python', 'Java'], 'technology': 'Android App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'Java'], 'technology': 'Android App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}",,,,,,,,,,,"{'skills': ['Python', 'Java'], 'technology': 'Android App Development', 'experience': 'Non-Beginner', 'num_hackathons': 1}",,,,,,,,,"{'skills': ['HTML5/CSS', 'Javascript', 'Java'], 'technology': 'Android App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'HTML5/CSS', 'Javascript', 'Java', 'SQL'], 'technology': 'Android App Development', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['Python', 'Java'], 'technology': 'Android App Development', 'experience': 'Non-Beginner', 'num_hackathons': 0}",,,,,"['Robin Rhodes', 'So Hyeong  Lee', 'Jennifer Liang', 'Joseph Bain', 'Jennifer Liang', 'Xinyun Cao']"
6,9,"[94, 74, 66, 104, 79, 73, 68, 64, 27]",0.176776695297,0.157134840264,0.515877081724,"{'skills': [], 'technology': 'I have no idea', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'I have no idea', 'experience': 'Beginner', 'num_hackathons': 0}",,,,,,,,,,,"{'skills': [], 'technology': 'I have no idea', 'experience': 'Beginner', 'num_hackathons': 0}",,,,,,,,,"{'skills': ['Python', 'Java'], 'technology': 'I have no idea', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python'], 'technology': 'I have no idea', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python'], 'technology': 'I have no idea', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python', 'SQL'], 'technology': 'I have no idea', 'experience': 'Non-Beginner', 'num_hackathons': 0}","{'skills': ['Python'], 'technology': 'I have no idea', 'experience': 'Beginner', 'num_hackathons': 0}","{'skills': [], 'technology': 'I have no idea', 'experience': 'Non-Beginner', 'num_hackathons': 0}",,"['Yuxuan Li', 'Loretta Hing', 'Priscilla Cheng', 'Audrey Zeng', 'Kelly Ruan', 'minjae lee', 'Samantha  Walker ', 'Dimitrios Dalardha', 'Nebeyatt Betre']"
7,6,"[98, 39, 59, 5, 3, 21]",0.0,0.0,1.0,"{'skills': ['HTML5/CSS', 'Javascript', 'C++'], 'technology': 'Virtual Reality with Unity', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['Python', 'HTML5/CSS', 'Javascript'], 'technology': 'Virtual Reality with Unity', 'experience': 'Non-Beginner', 'num_hackathons': 1}",,,,,,,,,,,"{'skills': ['Python'], 'technology': 'Virtual Reality with Unity', 'experience': 'Non-Beginner', 'num_hackathons': 0}",,,,,,,,,"{'skills': ['SQL'], 'technology': 'Virtual Reality with Unity', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['SQL'], 'technology': 'Virtual Reality with Unity', 'experience': 'Non-Beginner', 'num_hackathons': 1}","{'skills': ['Python', 'HTML5/CSS', 'Javascript', 'Java', 'SQL'], 'technology': 'Virtual Reality with Unity', 'experience': 'Non-Beginner', 'num_hackathons': 0}",,,,,"['Qingru Xu', 'Adrianne Ng', 'Jiahuan Wang', 'Victoria Smith', 'Alicia Hong', 'Sarah Rieger']"
